OrderID,CustomerID,OrderDate,Product,Quantity,UnitPrice,PaymentMethod,City,State,Category,TotalAmount,DeliveryTime,CustomerRating,Year,Month,Day,Weekday,Profit
10001,5103,2023-02-17,Shoes,1,52796.66,Debit Card,Chennai,Tamil Nadu,Fashion,52796.66,3,3,2023,2,17,Friday,15839.0
10002,5436,2023-03-02,Laptop,1,48584.76,Net Banking,Bangalore,Karnataka,Electronics,48584.76,2,2,2023,3,2,Thursday,14575.43
10003,5861,2023-12-03,Laptop,3,40726.0,Net Banking,Chennai,Tamil Nadu,Electronics,122178.0,7,1,2023,12,3,Sunday,36653.4
10004,5271,2023-01-26,Headphones,4,37614.24,COD,Delhi,Delhi,Electronics,150456.96,9,4,2023,1,26,Thursday,45137.09
10005,5107,2023-10-19,Jeans,3,19198.02,UPI,Hyderabad,Telangana,Fashion,57594.06,6,5,2023,10,19,Thursday,17278.22
10006,5072,2023-09-14,Jeans,1,49039.72,COD,Hyderabad,Telangana,Fashion,49039.72,7,4,2023,9,14,Thursday,14711.92
10007,5701,2023-01-08,Camera,2,30240.47,COD,Kolkata,West Bengal,Electronics,60480.94,4,3,2023,1,8,Sunday,18144.28
10008,5021,2023-04-23,Backpack,4,4532.23,Net Banking,Hyderabad,Telangana,Accessories,18128.92,5,4,2023,4,23,Sunday,5438.68
10009,5615,2023-12-21,Mobile,2,18977.93,Net Banking,Hyderabad,Telangana,Electronics,37955.86,3,5,2023,12,21,Thursday,11386.76
10010,5122,2023-09-10,Mobile,4,56137.24,Debit Card,Hyderabad,Telangana,Electronics,224548.96,2,1,2023,9,10,Sunday,67364.69
10011,5467,2023-06-29,Shirt,3,51085.61,Debit Card,Hyderabad,Telangana,Fashion,153256.83,3,2,2023,6,29,Thursday,45977.05
10012,5215,2023-07-26,Camera,3,58919.77,COD,Mumbai,Maharashtra,Electronics,176759.31,5,3,2023,7,26,Wednesday,53027.79
10013,5331,2023-10-30,Laptop,3,37791.2,Credit Card,Bangalore,Karnataka,Electronics,113373.6,2,5,2023,10,30,Monday,34012.08
10014,5459,2023-05-07,Camera,3,15076.35,Credit Card,Kolkata,West Bengal,Electronics,45229.05,5,3,2023,5,7,Sunday,13568.72
10015,5088,2023-02-25,Camera,3,10020.06,Debit Card,Hyderabad,Telangana,Electronics,30060.18,3,4,2023,2,25,Saturday,9018.05
10016,5373,2023-08-02,Camera,2,11458.79,Credit Card,Kolkata,West Bengal,Electronics,22917.58,4,3,2023,8,2,Wednesday,6875.27
10017,5100,2023-01-14,Jeans,3,1481.8,Debit Card,Bangalore,Karnataka,Fashion,4445.4,8,5,2023,1,14,Saturday,1333.62
10018,5872,2023-01-28,Camera,1,23623.72,Net Banking,Pune,Maharashtra,Electronics,23623.72,3,2,2023,1,28,Saturday,7087.12
10019,5664,2023-03-19,Shoes,1,11728.23,COD,Hyderabad,Telangana,Fashion,11728.23,3,2,2023,3,19,Sunday,3518.47
10020,5131,2023-08-04,Mobile,2,24875.83,UPI,Kolkata,West Bengal,Electronics,49751.66,3,3,2023,8,4,Friday,14925.5
10021,5662,2023-12-31,Shirt,4,56119.17,COD,Chennai,Tamil Nadu,Fashion,224476.68,6,1,2023,12,31,Sunday,67343.0
10022,5309,2023-06-03,Shoes,1,26003.25,Debit Card,Kolkata,West Bengal,Fashion,26003.25,5,3,2023,6,3,Saturday,7800.98
10023,5770,2023-01-14,Shirt,4,52715.67,Debit Card,Hyderabad,Telangana,Fashion,210862.68,9,4,2023,1,14,Saturday,63258.8
10024,5344,2023-07-06,Headphones,2,36448.63,COD,Delhi,Delhi,Electronics,72897.26,5,2,2023,7,6,Thursday,21869.18
10025,5492,2023-11-08,Shirt,4,15053.75,Debit Card,Mumbai,Maharashtra,Fashion,60215.0,7,2,2023,11,8,Wednesday,18064.5
10026,5414,2023-01-07,Mobile,4,21544.53,Credit Card,Chennai,Tamil Nadu,Electronics,86178.12,5,2,2023,1,7,Saturday,25853.44
10027,5806,2023-01-03,Mobile,4,5310.0,Credit Card,Chennai,Tamil Nadu,Electronics,21240.0,7,1,2023,1,3,Tuesday,6372.0
10028,5386,2023-04-21,Camera,4,20207.72,Debit Card,Delhi,Delhi,Electronics,80830.88,6,1,2023,4,21,Friday,24249.26
10029,5192,2023-08-26,Watch,2,40749.19,Debit Card,Hyderabad,Telangana,Accessories,81498.38,4,5,2023,8,26,Saturday,24449.51
10030,5956,2023-12-29,Headphones,1,4605.03,Credit Card,Mumbai,Maharashtra,Electronics,4605.03,7,3,2023,12,29,Friday,1381.51
10031,5277,2023-08-27,Laptop,3,12562.46,Debit Card,Chennai,Tamil Nadu,Electronics,37687.38,3,3,2023,8,27,Sunday,11306.21
10032,5161,2023-10-01,Tablet,4,23072.03,Debit Card,Mumbai,Maharashtra,Electronics,92288.12,4,4,2023,10,1,Sunday,27686.44
10033,5460,2023-10-21,Shirt,1,58928.36,COD,Chennai,Tamil Nadu,Fashion,58928.36,8,2,2023,10,21,Saturday,17678.51
10034,5314,2023-08-15,Watch,1,47156.25,UPI,Hyderabad,Telangana,Accessories,47156.25,6,1,2023,8,15,Tuesday,14146.88
10035,5022,2023-01-15,Camera,2,44089.16,Credit Card,Pune,Maharashtra,Electronics,88178.32,5,4,2023,1,15,Sunday,26453.5
10036,5253,2023-07-11,Jeans,1,7236.6,COD,Chennai,Tamil Nadu,Fashion,7236.6,7,4,2023,7,11,Tuesday,2170.98
10037,5748,2023-04-29,Laptop,2,46925.45,UPI,Pune,Maharashtra,Electronics,93850.9,9,1,2023,4,29,Saturday,28155.27
10038,5857,2023-01-28,Backpack,4,47180.55,Debit Card,Chennai,Tamil Nadu,Accessories,188722.2,3,3,2023,1,28,Saturday,56616.66
10039,5561,2023-07-21,Watch,4,36185.83,Debit Card,Bangalore,Karnataka,Accessories,144743.32,2,2,2023,7,21,Friday,43423.0
10040,5475,2023-02-08,Jeans,3,59424.6,COD,Hyderabad,Telangana,Fashion,178273.8,8,3,2023,2,8,Wednesday,53482.14
10041,5059,2023-09-30,Headphones,3,19717.66,Debit Card,Delhi,Delhi,Electronics,59152.98,2,4,2023,9,30,Saturday,17745.89
10042,5511,2023-08-19,Camera,3,56493.97,Net Banking,Pune,Maharashtra,Electronics,169481.91,4,2,2023,8,19,Saturday,50844.57
10043,5682,2023-03-27,Laptop,1,54909.45,COD,Delhi,Delhi,Electronics,54909.45,5,5,2023,3,27,Monday,16472.84
10044,5476,2023-05-06,Laptop,4,985.4,UPI,Hyderabad,Telangana,Electronics,3941.6,9,4,2023,5,6,Saturday,1182.48
10045,5700,2023-10-27,Laptop,2,27171.96,COD,Kolkata,West Bengal,Electronics,54343.92,2,3,2023,10,27,Friday,16303.18
10046,5976,2023-01-25,Headphones,3,58633.12,Credit Card,Delhi,Delhi,Electronics,175899.36,4,3,2023,1,25,Wednesday,52769.81
10047,5783,2023-05-25,Shirt,2,6456.35,COD,Hyderabad,Telangana,Fashion,12912.7,6,3,2023,5,25,Thursday,3873.81
10048,5190,2023-01-13,Backpack,2,33002.75,Debit Card,Delhi,Delhi,Accessories,66005.5,4,1,2023,1,13,Friday,19801.65
10049,5958,2023-07-31,Headphones,3,58743.76,Debit Card,Pune,Maharashtra,Electronics,176231.28,8,4,2023,7,31,Monday,52869.38
10050,5687,2023-01-25,Tablet,4,33463.08,Net Banking,Bangalore,Karnataka,Electronics,133852.32,9,2,2023,1,25,Wednesday,40155.7
10051,5958,2023-03-09,Backpack,3,11631.97,Net Banking,Delhi,Delhi,Accessories,34895.91,9,3,2023,3,9,Thursday,10468.77
10052,5563,2023-03-08,Mobile,2,35056.34,Net Banking,Pune,Maharashtra,Electronics,70112.68,4,3,2023,3,8,Wednesday,21033.8
10053,5876,2023-08-21,Camera,3,12505.1,UPI,Chennai,Tamil Nadu,Electronics,37515.3,8,1,2023,8,21,Monday,11254.59
10054,5567,2023-04-19,Headphones,2,31326.34,Net Banking,Hyderabad,Telangana,Electronics,62652.68,4,2,2023,4,19,Wednesday,18795.8
10055,5244,2023-05-26,Jeans,2,4720.32,UPI,Mumbai,Maharashtra,Fashion,9440.64,9,4,2023,5,26,Friday,2832.19
10056,5832,2023-04-21,Backpack,3,36447.32,Net Banking,Kolkata,West Bengal,Accessories,109341.96,9,5,2023,4,21,Friday,32802.59
10057,5505,2023-08-16,Tablet,1,31152.36,UPI,Mumbai,Maharashtra,Electronics,31152.36,3,1,2023,8,16,Wednesday,9345.71
10058,5131,2023-04-21,Mobile,3,44487.63,COD,Hyderabad,Telangana,Electronics,133462.89,4,4,2023,4,21,Friday,40038.87
10059,5485,2023-02-03,Shirt,1,37952.82,COD,Bangalore,Karnataka,Fashion,37952.82,7,5,2023,2,3,Friday,11385.85
10060,5819,2023-04-21,Jeans,2,33111.49,Debit Card,Delhi,Delhi,Fashion,66222.98,4,3,2023,4,21,Friday,19866.89
10061,5647,2023-09-21,Backpack,2,41479.8,UPI,Bangalore,Karnataka,Accessories,82959.6,9,3,2023,9,21,Thursday,24887.88
10062,5021,2023-08-24,Camera,1,8893.33,Credit Card,Mumbai,Maharashtra,Electronics,8893.33,3,2,2023,8,24,Thursday,2668.0
10063,5841,2023-03-24,Jeans,2,35842.97,Debit Card,Kolkata,West Bengal,Fashion,71685.94,3,5,2023,3,24,Friday,21505.78
10064,5167,2023-02-11,Mobile,1,10575.0,COD,Pune,Maharashtra,Electronics,10575.0,6,3,2023,2,11,Saturday,3172.5
10065,5274,2023-04-11,Jeans,1,55553.68,UPI,Kolkata,West Bengal,Fashion,55553.68,8,3,2023,4,11,Tuesday,16666.1
10066,5388,2023-01-06,Shoes,2,4379.55,Net Banking,Hyderabad,Telangana,Fashion,8759.1,5,2,2023,1,6,Friday,2627.73
10067,5601,2023-06-29,Watch,4,25993.37,Credit Card,Hyderabad,Telangana,Accessories,103973.48,2,4,2023,6,29,Thursday,31192.04
10068,5316,2023-10-09,Shirt,1,41839.11,COD,Bangalore,Karnataka,Fashion,41839.11,2,3,2023,10,9,Monday,12551.73
10069,5014,2023-11-16,Mobile,3,27643.93,Debit Card,Pune,Maharashtra,Electronics,82931.79,4,1,2023,11,16,Thursday,24879.54
10070,5242,2023-08-14,Jeans,3,5798.09,UPI,Bangalore,Karnataka,Fashion,17394.27,6,1,2023,8,14,Monday,5218.28
10071,5777,2023-11-11,Watch,2,33336.73,Credit Card,Delhi,Delhi,Accessories,66673.46,4,4,2023,11,11,Saturday,20002.04
10072,5346,2023-12-31,Watch,4,38605.42,UPI,Chennai,Tamil Nadu,Accessories,154421.68,2,5,2023,12,31,Sunday,46326.5
10073,5565,2023-08-17,Jeans,2,42316.4,Net Banking,Pune,Maharashtra,Fashion,84632.8,8,2,2023,8,17,Thursday,25389.84
10074,5898,2023-10-16,Camera,4,22583.61,Debit Card,Chennai,Tamil Nadu,Electronics,90334.44,9,1,2023,10,16,Monday,27100.33
10075,5340,2023-05-30,Shoes,1,33950.5,UPI,Kolkata,West Bengal,Fashion,33950.5,8,1,2023,5,30,Tuesday,10185.15
10076,5092,2023-10-04,Headphones,1,27205.98,COD,Delhi,Delhi,Electronics,27205.98,8,4,2023,10,4,Wednesday,8161.79
10077,5367,2023-07-17,Shoes,1,40421.75,Debit Card,Chennai,Tamil Nadu,Fashion,40421.75,3,5,2023,7,17,Monday,12126.52
10078,5956,2023-03-11,Jeans,1,35138.35,COD,Mumbai,Maharashtra,Fashion,35138.35,9,5,2023,3,11,Saturday,10541.5
10079,5455,2023-04-22,Shirt,3,31687.65,UPI,Kolkata,West Bengal,Fashion,95062.95,5,4,2023,4,22,Saturday,28518.88
10080,5428,2023-01-04,Headphones,3,15196.6,Debit Card,Chennai,Tamil Nadu,Electronics,45589.8,9,1,2023,1,4,Wednesday,13676.94
10081,5509,2023-12-16,Mobile,2,420.51,COD,Delhi,Delhi,Electronics,841.02,6,2,2023,12,16,Saturday,252.31
10082,5776,2023-11-27,Shoes,4,10692.68,Net Banking,Chennai,Tamil Nadu,Fashion,42770.72,3,1,2023,11,27,Monday,12831.22
10083,5943,2023-11-14,Jeans,1,7288.84,Net Banking,Hyderabad,Telangana,Fashion,7288.84,5,5,2023,11,14,Tuesday,2186.65
10084,5035,2023-12-16,Shoes,1,27110.36,UPI,Bangalore,Karnataka,Fashion,27110.36,6,1,2023,12,16,Saturday,8133.11
10085,5206,2023-04-05,Headphones,4,36851.81,Debit Card,Mumbai,Maharashtra,Electronics,147407.24,6,2,2023,4,5,Wednesday,44222.17
10086,5081,2023-06-01,Tablet,4,13021.18,Credit Card,Hyderabad,Telangana,Electronics,52084.72,2,3,2023,6,1,Thursday,15625.42
10087,5932,2023-11-07,Backpack,2,56361.71,Debit Card,Hyderabad,Telangana,Accessories,112723.42,3,1,2023,11,7,Tuesday,33817.03
10088,5562,2023-05-17,Shoes,4,698.92,Net Banking,Delhi,Delhi,Fashion,2795.68,6,4,2023,5,17,Wednesday,838.7
10089,5872,2023-09-04,Mobile,1,46406.37,COD,Bangalore,Karnataka,Electronics,46406.37,7,3,2023,9,4,Monday,13921.91
10090,5388,2023-08-31,Mobile,1,37624.72,Credit Card,Bangalore,Karnataka,Electronics,37624.72,8,4,2023,8,31,Thursday,11287.42
10091,5002,2023-01-31,Laptop,1,22601.22,UPI,Pune,Maharashtra,Electronics,22601.22,6,4,2023,1,31,Tuesday,6780.37
